security,date,monthly_return,monthly_return_f1
APTV US Equity,2020-03-31,-0.3696069645371911,0.41246953696181965
APTV US Equity,2020-04-30,0.41246953696181965,0.08339324227174694
APTV US Equity,2020-05-29,0.08339324227174694,0.03410749834107518
APTV US Equity,2020-06-30,0.03410749834107518,-0.0021817248459958805
APTV US Equity,2020-07-31,-0.0021817248459958805,0.10765273311897117
APTV US Equity,2020-08-31,0.10765273311897117,0.06456107756618668
APTV US Equity,2020-09-30,0.06456107756618668,0.05246509598603821
APTV US Equity,2020-10-30,0.05246509598603821,0.23017929319100427
APTV US Equity,2020-11-30,0.23017929319100427,0.09764111204717763
APTV US Equity,2020-12-31,0.09764111204717763,0.025404866068002185
APTV US Equity,2021-01-29,0.025404866068002185,0.1215568862275449
APTV US Equity,2021-02-26,0.1215568862275449,-0.07968499733048584
APTV US Equity,2021-03-31,-0.07968499733048584,0.04343727338651182
APTV US Equity,2021-04-30,0.04343727338651182,0.04538188894294248
APTV US Equity,2021-05-31,0.04538188894294248,0.04593804015423508
APTV US Equity,2021-06-30,0.04593804015423508,0.060509756562638906
APTV US Equity,2021-07-30,0.060509756562638906,-0.08786335031465387
APTV US Equity,2021-08-31,-0.08786335031465387,-0.021157763322163126
APTV US Equity,2021-09-30,-0.021157763322163126,0.1605692421292877
APTV US Equity,2021-10-29,0.1605692421292877,-0.07253166753427032
APTV US Equity,2021-11-30,-0.07253166753427032,0.02868724664795752
APTV US Equity,2021-12-31,0.02868724664795752,-0.17199151257956946
APTV US Equity,2022-01-31,-0.17199151257956946,-0.05227705374139713
APTV US Equity,2022-02-28,-0.05227705374139713,-0.0751699629171817
APTV US Equity,2022-03-31,-0.0751699629171817,-0.111185364631192
APTV US Equity,2022-04-29,-0.111185364631192,-0.0015037593984963404
APTV US Equity,2022-05-31,-0.0015037593984963404,-0.1616152108433735
APTV US Equity,2022-06-30,-0.1616152108433735,0.17761311328168872
APTV US Equity,2022-07-29,0.17761311328168872,-0.10925731718943654
APTV US Equity,2022-08-31,-0.10925731718943654,-0.1629027079096651
APTV US Equity,2022-09-30,-0.1629027079096651,0.16442910113796194
APTV US Equity,2022-10-31,0.16442910113796194,0.17129680465575947
APTV US Equity,2022-11-30,0.17129680465575947,-0.12693353332708357
APTV US Equity,2022-12-30,-0.12693353332708357,0.21432406313754981
APTV US Equity,2023-01-31,0.21432406313754981,0.028207622247767183
APTV US Equity,2023-02-28,0.028207622247767183,-0.03517371861025109
APTV US Equity,2023-03-31,-0.03517371861025109,-0.08316249220073091
APTV US Equity,2023-04-28,-0.08316249220073091,-0.143690453042971
APTV US Equity,2023-05-31,-0.143690453042971,0.1590599455040873
APTV US Equity,2023-06-30,0.1590599455040873,0.07248506220001949
APTV US Equity,2023-07-31,0.07248506220001949,-0.07343136359484881
APTV US Equity,2023-08-31,-0.07343136359484881,-0.02819122720551992
AZO US Equity,2000-01-31,,-0.08571428571428574
AZO US Equity,2000-02-29,-0.08571428571428574,0.15625
AZO US Equity,2000-03-31,0.15625,-0.1734054054054055
AZO US Equity,2000-04-28,-0.1734054054054055,0.22068183799808194
AZO US Equity,2000-05-31,0.22068183799808194,-0.21371428571428575
AZO US Equity,2000-06-30,-0.21371428571428575,0.0390170784883721
AZO US Equity,2000-07-31,0.0390170784883721,-0.015519125683060131
AZO US Equity,2000-08-31,-0.015519125683060131,0.00746003552397867
AZO US Equity,2000-09-29,0.00746003552397867,0.18181417489421725
AZO US Equity,2000-10-31,0.18181417489421725,-0.037295341811807714
AZO US Equity,2000-11-30,-0.037295341811807714,0.10409483593538149
AZO US Equity,2000-12-29,0.10409483593538149,-0.08666666666666667
AZO US Equity,2001-01-31,-0.08666666666666667,-0.029581252401075675
AZO US Equity,2014-01-31,0.03582039586558983,0.08762574233426257
AZO US Equity,2014-02-28,0.08762574233426257,-0.0024886709754105008
AZO US Equity,2014-03-31,-0.0024886709754105008,-0.005976540681437381
AZO US Equity,2014-04-30,-0.005976540681437381,-0.0026035325628874784
AZO US Equity,2014-05-30,-0.0026035325628874784,0.007023474178403877
AZO US Equity,2014-06-30,0.007023474178403877,-0.035823511860361146
AZO US Equity,2014-07-31,-0.035823511860361146,0.04218323888362385
AZO US Equity,2014-08-29,0.04218323888362385,-0.05415336649098068
AZO US Equity,2014-09-30,-0.05415336649098068,0.08605737158105398
AZO US Equity,2014-10-31,0.08605737158105398,0.04370212458447753
AZO US Equity,2014-11-28,0.04370212458447753,0.0716622526873345
AZO US Equity,2014-12-31,0.0716622526873345,-0.035777163993474415
AZO US Equity,2015-01-30,-0.035777163993474415,0.07658804610024106
AZO US Equity,2015-02-27,0.07658804610024106,0.06143026078297131
AZO US Equity,2015-03-31,0.06143026078297131,-0.013926351589069963
AZO US Equity,2015-04-30,-0.013926351589069963,0.0014271697440015885
AZO US Equity,2015-05-29,0.0014271697440015885,-0.009975950832813774
AZO US Equity,2015-06-30,-0.009975950832813774,0.05104213525266177
AZO US Equity,2015-07-31,0.05104213525266177,0.021471167289639492
AZO US Equity,2015-08-31,0.021471167289639492,0.010949873601586724
AZO US Equity,2015-09-30,0.010949873601586724,0.08369368498127994
AZO US Equity,2015-10-30,0.08369368498127994,-0.0008158998482935553
AZO US Equity,2015-11-30,-0.0008158998482935553,-0.0534085254602753
AZO US Equity,2015-12-31,-0.0534085254602753,0.03434378833012097
AZO US Equity,2016-01-29,0.03434378833012097,0.009356389840889268
AZO US Equity,2016-02-29,0.009356389840889268,0.02855778044592494
AZO US Equity,2016-03-31,0.02855778044592494,-0.0394883831854298
AZO US Equity,2016-04-29,-0.0394883831854298,-0.0039595938476013615
AZO US Equity,2016-05-31,-0.0039595938476013615,0.04151141432694838
AZO US Equity,2016-06-30,0.04151141432694838,0.02535775471127688
AZO US Equity,2016-07-29,0.02535775471127688,-0.08866420138334341
AZO US Equity,2016-08-31,-0.08866420138334341,0.0357778376921003
AZO US Equity,2016-09-30,0.0357778376921003,-0.034073457063279355
AZO US Equity,2016-10-31,-0.034073457063279355,0.055271100571305354
AZO US Equity,2016-11-30,0.055271100571305354,0.008439949947649295
AZO US Equity,2016-12-30,0.008439949947649295,-0.08205978804492331
AZO US Equity,2017-01-31,-0.08205978804492331,0.01595906093961208
AZO US Equity,2017-02-28,0.01595906093961208,-0.018328694589640926
AZO US Equity,2017-03-31,-0.018328694589640926,-0.042680312564829403
AZO US Equity,2017-04-28,-0.042680312564829403,-0.12463340990190563
AZO US Equity,2017-05-31,-0.12463340990190563,-0.05852257723791909
AZO US Equity,2017-06-30,-0.05852257723791909,-0.05371104021316131
AZO US Equity,2017-07-31,-0.05371104021316131,-0.021081101107776612
AZO US Equity,2017-08-31,-0.021081101107776612,0.12616380289152973
AZO US Equity,2017-09-29,0.12616380289152973,-0.009426828653526287
AZO US Equity,2017-10-31,-0.009426828653526287,0.16498727735368957
AZO US Equity,2017-11-30,0.16498727735368957,0.03583493505737079
AZO US Equity,2017-12-29,0.03583493505737079,0.07600826574075392
AZO US Equity,2018-01-31,0.07600826574075392,-0.13158444816053516
AZO US Equity,2018-02-28,-0.13158444816053516,-0.0241154170176916
AZO US Equity,2018-03-30,-0.0241154170176916,-0.03725970802694667
AZO US Equity,2018-04-30,-0.03725970802694667,0.03971049766220469
AZO US Equity,2018-05-31,0.03971049766220469,0.033280970861824466
AZO US Equity,2018-06-29,0.033280970861824466,0.05157020851653682
AZO US Equity,2018-07-31,0.05157020851653682,0.08695590548949017
AZO US Equity,2018-08-31,0.08695590548949017,0.011501147506780773
AZO US Equity,2018-09-28,0.011501147506780773,-0.05444114992909632
AZO US Equity,2018-10-31,-0.05444114992909632,0.10307170027403978
AZO US Equity,2018-11-30,0.10307170027403978,0.03617733941438939
AZO US Equity,2018-12-31,0.03617733941438939,0.010735501109335077
AZO US Equity,2019-01-31,0.010735501109335077,0.1081384096112541
AZO US Equity,2019-02-28,0.1081384096112541,0.09068447341235597
AZO US Equity,2019-03-29,0.09068447341235597,0.00409131742373936
AZO US Equity,2019-04-30,0.00409131742373936,-0.0011669632698311228
AZO US Equity,2019-05-31,-0.0011669632698311228,0.07045009784735834
AZO US Equity,2019-06-28,0.07045009784735834,0.02143760175357201
AZO US Equity,2019-07-31,0.02143760175357201,-0.019010898988459868
AZO US Equity,2019-08-30,-0.019010898988459868,-0.015494376821065914
AZO US Equity,2019-09-30,-0.015494376821065914,0.05509763788239219
AZO US Equity,2019-10-31,0.05509763788239219,0.02930844649504527
AZO US Equity,2019-11-29,0.02930844649504527,0.011367495245856896
AZO US Equity,2019-12-31,0.011367495245856896,-0.11193560030554595
AZO US Equity,2020-01-31,-0.11193560030554595,-0.02405572989527016
AZO US Equity,2020-02-28,-0.02405572989527016,-0.18063747566609523
AZO US Equity,2020-03-31,-0.18063747566609523,0.20605200945626478
AZO US Equity,2020-04-30,0.20605200945626478,0.12499999999999978
AZO US Equity,2020-05-29,0.12499999999999978,-0.017197219173069933
AZO US Equity,2020-06-30,-0.017197219173069933,0.0702939403609546
AZO US Equity,2020-07-31,0.0702939403609546,-0.00920143777641591
AZO US Equity,2020-08-31,-0.00920143777641591,-0.015606322775869041
AZO US Equity,2020-09-30,-0.015606322775869041,-0.041319927991576466
AZO US Equity,2020-10-30,-0.041319927991576466,0.007679498308207577
AZO US Equity,2020-11-30,0.007679498308207577,0.04200764734320739
AZO US Equity,2020-12-31,0.04200764734320739,-0.05657814819813756
AZO US Equity,2021-01-29,-0.05657814819813756,0.03715228412779337
AZO US Equity,2021-02-26,0.03715228412779337,0.21068694392716725
AZO US Equity,2021-03-31,0.21068694392716725,0.042597735526596736
AZO US Equity,2021-04-30,0.042597735526596736,-0.039286397289839625
AZO US Equity,2021-05-31,-0.039286397289839625,0.060870183421015245
AZO US Equity,2021-06-30,0.060870183421015245,0.08802321373524014
AZO US Equity,2021-07-30,0.08802321373524014,-0.04583725986560472
AZO US Equity,2021-08-31,-0.04583725986560472,0.09607849465836105
AZO US Equity,2021-09-30,0.09607849465836105,0.05114871112315145
AZO US Equity,2021-10-29,0.05114871112315145,0.018057641021044013
AZO US Equity,2021-11-30,0.018057641021044013,0.15371999977986528
AZO US Equity,2021-12-31,0.15371999977986528,-0.052490233210423565
AZO US Equity,2022-01-31,-0.052490233210423565,-0.061902484456414886
AZO US Equity,2022-02-28,-0.061902484456414886,0.09723675666392961
