security,y_m,trail_12m_net_sales,trail_12m_eps,trail_12m_oper_margin,ev_to_t12m_ebitda,enterprise_value,best_pe_ratio,px_last,best_sales,best_eps,best_opp_to_sales,best_cur_ev_to_ebitda,trail_12m_ebitda,cur_mkt_cap,volume,eqy_dvd_yld_12m,trail_12m_gross_margin,ebit_margin,best_ltg_eps,is_div_per_shr,ebitda_margin,tot_debt_to_tot_asset,sales_growth,eps_growth,sales_to_cash,current_ev_to_t12m_ebitda,pe_ratio,eqy_sh_out,short_int,si_percent_equity_float,rsk_bb_implied_cds_spread,ivol_delta,open_int_total_call,open_int_total_put,px_to_book_ratio,tot_debt_to_tot_eqy,tot_debt_to_ebitda,return_com_eqy,eqy_dvd_yld_ind,tang_book_val_per_sh,net_debt,curr_entp_val,trail_12m_cogs,best_ebitda,trail_12m_oper_inc,px_last_usd,trail_12m_cap_expend,free_cash_flow_yield,trail_12m_free_cash_flow_per_sh,best_estimate_fcf,interest_coverage_ratio,t12_fcf_t12_ebitda,tot_debt_to_com_eqy,altman_z_score,bs_cash_near_cash_item,bs_mkt_sec_other_st_invest,bs_cur_liab,bs_acct_note_rcv,is_operating_expn,invent_days,acct_rcv_days,accounts_payable_turnover_days,wacc_eva_spread,wacc_return_on_inv_capital,wacc
VFC US Equity,2021-08,10357.1,2.1602,10.2087,21.3401,38207.4,22.841,76.47,12305.2,3.348,,17.111,1790.4,30025.1,1901090.0,2.55,53.4678,10.2087,22.5,0.49,17.2867,51.1289,103.9,,1.7213,19.5931,35.4,392.639,6573340.0,1.867,84.0,23.7895,21297.0,18773.0,9.1703,211.609,3.8696,32.9009,2.5631,-5.5554,5054.42,,,1980.37,1057.32,,-222.685,3.9397,3.0127,762.227,5.8105,65.613,211.609,,1274.93,598.806,3071.45,1138.81,1036.12,100.832,37.1426,35.3811,-70.9971,-60.6514,10.3457
VFC US Equity,2021-09,10357.1,2.1602,10.2087,21.3401,38207.4,20.069,66.99,12288.2,3.338,,15.558,1790.4,26302.9,5222120.0,2.9258,53.4678,10.2087,30.743,0.49,17.2867,51.1289,103.9,,1.7213,17.5141,31.0115,392.639,10060600.0,2.8576,87.0,33.6565,31582.0,34304.0,8.0334,211.609,3.8696,32.9009,2.9258,-5.5554,5054.42,,,1938.82,1057.32,,-222.685,4.4973,3.0127,886.227,5.8105,65.613,211.609,,1274.93,598.806,3071.45,1138.81,1036.12,100.832,37.1426,35.3811,-3.6977,6.648,10.3457
VFC US Equity,2021-10,10947.0,2.6199,11.8376,15.9492,32266.9,21.404,72.88,12413.2,3.405,,16.824,2023.1,28615.5,4409230.0,2.6894,54.1754,11.8376,29.177,0.49,18.4808,49.2538,22.6165,90.3226,2.3514,16.8535,27.8183,392.639,12196700.0,3.4643,82.0,27.5293,37803.0,34399.0,7.9545,190.105,3.3814,37.4423,2.7442,-4.6734,5480.77,,,1958.41,1295.86,,-230.739,2.9204,2.1284,1155.8,15.5619,40.9541,190.105,,1360.14,0.0,3384.36,1787.33,1160.3,107.221,57.509,36.1889,-1.4438,9.1145,10.5583
VFC US Equity,2021-11,10947.0,2.6199,11.8376,15.9492,32266.9,21.029,71.73,12445.9,3.411,,16.263,2023.1,28174.3,4357540.0,2.7325,54.1754,11.8376,29.243,0.49,18.4808,49.2538,22.6165,90.3226,2.3514,16.6354,27.3794,392.782,12002500.0,3.4078,75.0,35.8043,30229.0,21574.0,7.829,190.105,3.3814,37.4423,2.7882,-4.6734,5480.77,,,1998.89,1295.86,,-230.739,2.9672,2.1284,1152.55,15.5619,40.9541,190.105,,1360.14,0.0,3384.36,1787.33,1160.3,108.089,57.9741,36.4816,-1.9472,8.6111,10.5583
VFC US Equity,2021-12,10947.0,2.6199,11.8376,15.9492,32266.9,21.46,73.22,12449.6,3.412,,16.706,2023.1,28759.5,1115780.0,2.6905,54.1754,11.8376,29.243,0.49,18.4808,49.2538,22.6165,90.3226,2.3514,16.9247,27.9481,392.782,14293300.0,4.0582,81.0,30.5791,23512.0,23808.0,7.9916,190.105,3.3814,37.4423,2.7315,-4.6734,5480.77,,,1980.95,1295.86,,-230.739,2.9068,2.1284,1050.84,15.5619,40.9541,190.105,,1360.14,0.0,3384.36,1787.33,1160.3,108.089,57.9741,36.4816,-1.9472,8.6111,10.5583
VFC US Equity,2022-01,11599.8,2.9149,13.4683,14.6625,33486.6,18.473,65.21,12537.3,3.53,,14.441,2283.83,25360.3,5066170.0,3.021,54.6201,13.4683,29.557,0.5,19.6884,46.8836,21.9698,58.3333,2.7173,13.299,22.3715,388.902,13981300.0,3.9696,84.0,35.7686,22486.0,25242.0,6.9413,173.71,2.7788,41.0985,3.067,-4.5422,5012.48,,,2027.51,1562.31,,-260.432,2.7851,1.8162,1333.5,19.9577,31.0057,173.71,,1333.84,0.0,3223.88,1495.86,1353.34,83.2774,46.4943,32.9326,-1490.05,-1480.05,10.0012
VFC US Equity,2022-02,11599.8,2.9149,13.4683,14.6625,33486.6,16.544,58.02,12541.1,3.507,,13.055,2283.83,22564.1,3822990.0,3.3954,54.6201,13.4683,29.557,0.5,19.6884,46.8836,21.9698,58.3333,2.7173,12.0747,19.9049,388.902,13100600.0,3.761,91.0,37.2706,14255.0,18248.0,6.1759,173.71,2.7788,41.0985,3.4471,-4.5422,5012.48,,,2028.64,1562.31,,-260.432,3.1303,1.8162,1333.5,19.9577,31.0057,173.71,,1333.84,0.0,3223.88,1495.86,1353.34,83.2774,46.4943,32.9326,-113.5,-103.499,10.0012
VFC US Equity,2022-03,11599.8,2.9149,13.4683,14.6625,33486.6,16.274,56.86,12525.5,3.494,,12.91,2283.83,22112.9,2806430.0,3.4822,54.6201,13.4683,29.557,0.5,19.6884,46.8836,21.9698,58.3333,2.7173,11.8772,19.5069,388.902,12155600.0,3.4865,94.0,29.387,19945.0,20931.0,6.0524,173.71,2.7788,41.0985,3.5174,-4.5422,5012.48,,,2016.44,1562.31,,-260.432,3.1941,1.8162,1333.5,19.9577,31.0057,173.71,,1333.84,0.0,3223.88,1495.86,1353.34,83.2774,46.4943,32.9326,-113.5,-103.499,10.0012
VFC US Equity,2022-04,11599.8,2.9149,13.4683,14.6625,33486.6,14.493,52.0,12728.2,3.588,,11.86,2283.83,20222.9,6882590.0,3.8077,54.6201,13.4683,29.557,0.5,19.6884,46.8836,21.9698,58.3333,2.7173,11.0496,17.8396,388.902,12736500.0,3.6531,106.0,50.7391,20703.0,27349.0,5.5351,173.71,2.7788,41.0985,3.8462,-4.5422,5012.48,,,2035.58,1562.31,,-260.432,3.4926,1.8162,1013.5,19.9577,31.0057,173.71,,1333.84,0.0,3223.88,1495.86,1353.34,83.2774,46.4943,32.9326,-5.8576,4.1436,10.0012
VFC US Equity,2022-05,11841.8,3.1962,13.7834,11.7686,27476.9,15.222,50.46,12433.1,3.315,,12.252,2334.78,19594.8,4106610.0,3.9239,54.5139,13.7834,19.29,0.5,19.7163,50.9547,9.3698,31.25,2.2138,10.7579,15.7874,388.323,16074000.0,4.6189,134.0,36.78,22650.0,28631.0,5.55,192.572,2.9118,42.1145,3.9635,-4.7999,5522.54,,,1937.68,1632.2,,-245.449,3.1479,1.5884,123.2,6.0749,26.5053,192.572,,1275.94,0.0,3315.4,1467.84,1273.48,83.8136,42.5092,32.5198,4.2883,14.0275,9.7393
VFC US Equity,2022-06,11841.8,3.1962,13.7834,11.7686,27476.9,13.344,44.17,12433.1,3.31,,10.99,2334.78,17159.2,5015340.0,4.5053,54.5139,13.7834,8.54,0.5,19.7163,50.9547,9.3698,31.25,2.2138,9.7147,13.8195,388.48,16961600.0,4.8679,156.0,40.5673,26119.0,28517.0,4.8582,192.572,2.9118,42.1145,4.528,-4.7999,5522.54,,,1938.48,1632.2,,-245.449,3.5962,1.5884,789.76,6.0749,26.5053,192.572,,1275.94,0.0,3315.4,1467.84,1273.48,83.8136,42.5092,32.5198,4.2883,14.0275,9.7393
VFC US Equity,2022-07,11908.9,3.0132,12.5342,10.5062,22926.2,14.037,44.68,12299.0,3.183,,11.544,2182.16,17357.3,12402900.0,4.4539,54.0358,12.5342,6.02,0.5,18.3238,47.7084,3.0547,,4.2831,10.6007,14.8279,388.48,14872900.0,4.2685,152.0,35.4434,31650.0,33463.0,5.175,188.013,2.8885,30.385,4.4763,-5.128,5775.08,,,1916.67,1492.68,,-204.888,1.2516,0.5592,1012.8,1.9469,10.085,188.013,,528.029,0.0,3464.0,1249.71,1155.25,117.658,36.3026,42.7252,5.0855,13.5827,8.4972
VFC US Equity,2022-08,11908.9,3.0132,12.5342,10.4991,22910.7,13.188,41.45,12233.0,3.143,,11.217,2182.16,16103.1,4275090.0,4.801,54.0358,12.5342,5.12,0.5,18.3238,47.7084,3.0547,,4.2831,10.0259,13.7559,388.495,14589100.0,4.187,160.0,36.7314,33414.0,39407.0,4.8009,188.013,2.8885,30.385,4.8251,-5.128,5775.08,,,1860.68,1492.68,,-204.888,1.3491,0.5592,1113.56,1.9469,10.085,188.013,,528.029,0.0,3464.0,1249.71,1155.25,118.308,36.5031,42.9613,10.3856,18.9158,8.5302
VFC US Equity,2022-09,11908.9,3.0132,12.5342,10.4991,22910.7,10.904,29.91,11883.9,2.743,,9.791,2182.16,11619.9,8451640.0,6.6867,54.0358,12.5342,3.387,0.5,18.3238,47.7084,3.0547,,4.2831,7.9714,9.9262,388.495,15401400.0,4.4202,204.0,60.3354,49138.0,42582.0,3.4643,188.013,2.8885,30.385,6.6867,-5.128,5775.08,,,1673.92,1492.68,,-204.888,1.8697,0.5592,816.2,1.9469,10.085,188.013,,528.029,0.0,3464.0,1249.71,1155.25,118.308,36.5031,42.9613,38.416,46.9462,8.5302
VFC US Equity,2022-10,11791.2,2.6129,7.1526,11.919,18134.6,10.92,28.25,11902.6,2.587,,10.043,1521.49,10975.0,27588400.0,7.0796,53.4184,7.1526,2.807,0.5,12.9036,51.3157,-3.6781,,5.5726,11.499,10.8116,388.495,18226400.0,5.2309,271.0,48.2488,37800.0,61249.0,3.555,229.237,4.649,12.6943,7.2212,-4.6178,6520.62,,,1640.24,843.377,,-190.825,-0.6921,-0.1955,524.803,-2.6153,-4.5585,229.237,,552.811,0.0,5345.99,1834.6,1673.24,139.654,55.9051,41.8034,-0.5127,7.1826,7.6952
VFC US Equity,2022-11,11791.2,2.6129,7.1526,11.919,18134.6,12.765,32.82,11900.1,2.571,,11.129,1521.49,12752.7,6926000.0,6.0938,53.4184,7.1526,2.807,0.5,12.9036,51.3157,-3.6781,,5.5726,12.6674,12.5606,388.566,20729000.0,5.9499,267.0,44.6562,38201.0,66712.0,4.1301,229.237,4.649,12.6943,6.2157,-4.6178,6520.62,,,1639.91,843.377,,-190.825,-0.5957,-0.1955,524.803,-2.6153,-4.5585,229.237,,552.811,0.0,5345.99,1834.6,1673.24,139.654,55.9051,41.8034,-0.5127,7.1826,7.6952
VFC US Equity,2022-12,11791.2,2.6129,7.1526,11.919,18134.6,12.505,27.61,11720.0,2.208,,10.569,1521.49,10728.3,4600130.0,7.28,53.4184,7.1526,-2.423,0.5,12.9036,51.3157,-3.6781,,5.5726,11.3369,10.5666,388.566,22270800.0,6.3944,292.0,45.3697,77741.0,72551.0,3.4745,229.237,4.649,12.6943,7.3886,-4.6178,6520.62,,,1462.12,843.377,,-190.825,-0.7081,-0.1955,947.573,-2.6153,-4.5585,229.237,,552.811,0.0,5345.99,1834.6,1673.24,139.654,55.9051,41.8034,-0.4855,7.2098,7.6952
VFC US Equity,2023-01,11791.2,2.6129,7.1526,11.9243,18142.7,13.382,30.94,11894.9,2.312,,11.584,1521.49,12022.2,10112200.0,6.4964,53.4184,7.1526,-2.423,0.5,12.9036,51.3157,-3.6781,,5.5726,12.1873,11.8411,388.566,16981900.0,4.8758,255.0,59.8328,78436.0,76651.0,3.8962,229.237,4.649,12.6943,6.5934,-4.6146,6520.62,,,1512.49,843.377,,-190.825,-0.6319,-0.1955,688.248,-2.6153,-4.5585,229.237,,552.811,0.0,5345.99,1834.6,1673.24,139.654,55.9051,41.8034,3.3572,11.0535,7.6963
VFC US Equity,2023-02,11697.5,2.5897,5.8215,13.0532,17658.0,11.985,24.82,11791.6,2.071,,11.239,1352.77,9646.46,76597300.0,8.0983,53.0414,5.8215,-10.295,0.51,11.5646,52.3881,-2.5857,-1.5038,6.1795,12.2516,9.584,388.657,23884900.0,6.8573,340.0,39.8762,103424.0,98563.0,2.9059,225.883,5.543,11.8834,4.8348,-4.1509,6927.12,,,1379.55,680.968,,-161.443,-9.6456,-2.394,804.265,9.5308,-68.6003,225.883,,571.347,0.0,4546.23,1564.96,1421.59,128.527,47.6228,39.2518,-0.2185,7.4701,7.6887
VFC US Equity,2023-03,11697.5,2.5897,5.8215,13.0532,17658.0,11.073,22.91,11790.8,2.069,,10.736,1352.77,8904.13,6747940.0,7.9005,53.0414,5.8215,-10.295,0.51,11.5646,52.3881,-2.5857,-1.5038,6.1795,11.7028,8.8464,388.657,15442000.0,4.4314,350.0,39.7783,124668.0,111997.0,2.6823,225.883,5.543,11.8834,5.2379,-4.1509,6927.12,,,1375.08,680.968,,-161.443,-10.4497,-2.394,804.265,9.5308,-68.6003,225.883,,571.347,0.0,4546.23,1564.96,1421.59,128.527,47.6228,39.2518,-0.2185,7.4701,7.6887
VFC US Equity,2023-04,11697.5,2.5897,5.8215,13.0532,17658.0,10.609,23.51,11926.9,2.216,,10.23,1352.77,9137.32,4527720.0,7.6989,53.0414,5.8215,-4.13,0.51,11.5646,52.3881,-2.5857,-1.5038,6.1795,11.8752,9.0781,388.657,16667800.0,4.7832,352.0,43.5204,160578.0,95961.0,2.7525,225.883,5.543,11.8834,5.1042,-4.1509,6927.12,,,1465.84,680.968,,-161.443,-10.183,-2.394,652.991,9.5308,-68.6003,225.883,,571.347,0.0,4546.23,1564.96,1421.59,128.527,47.6228,39.2518,4.5552,12.2439,7.6887
VFC US Equity,2023-05,11612.5,2.3121,2.8219,16.0998,16240.4,8.173,17.22,11706.2,2.107,,8.716,1008.73,6693.02,9892440.0,10.511,52.5011,2.8219,1.443,0.3,8.6866,58.2608,-3.011,,3.362,13.9077,7.4477,388.677,22380500.0,6.4234,442.0,55.6271,210112.0,161405.0,2.2994,280.034,8.0804,3.6821,6.9686,-4.401,7336.09,,,1436.98,327.693,,-165.925,-12.3127,-2.1202,1148.01,-3.037,-81.4606,280.034,,814.887,0.0,3545.77,1610.3,1518.91,122.464,48.243,42.704,2.212,10.2112,7.9992
VFC US Equity,2023-06,11612.5,2.3121,2.8219,16.0998,16240.4,9.178,19.09,11714.7,2.08,,9.16,1008.73,7419.85,4225880.0,8.4337,52.5011,2.8219,-1.935,0.3,8.6866,58.2608,-3.011,,3.362,14.6282,8.2565,388.677,21277600.0,6.1306,416.0,39.8195,192494.0,103372.0,2.5491,280.034,8.0804,3.6821,6.286,-4.401,7336.09,,,1446.68,327.693,,-165.925,-11.1066,-2.1202,1146.6,-3.037,-81.4606,280.034,,814.887,0.0,3545.77,1610.3,1518.91,122.464,48.243,42.704,2.212,10.2112,7.9992
VFC US Equity,2023-07,11437.2,2.0836,2.2325,15.3879,14481.9,9.406,19.81,11830.5,2.106,,9.239,941.126,7699.7,6202770.0,8.1272,52.2779,2.2325,-1.935,0.3,8.2286,56.0069,-7.7494,-7.1429,2.5868,15.682,9.5075,388.677,22150800.0,6.3822,384.0,62.4338,192044.0,111951.0,2.8353,289.519,8.3576,3.8594,6.0575,-4.8804,7059.03,,,1472.35,255.339,,-175.031,-4.0259,-0.7975,1351.98,-0.1629,-32.8257,289.519,,806.529,0.0,3816.44,1214.22,1110.06,170.537,39.1008,70.8656,442.785,451.495,8.7099
